Years,AMOC
2015,26.166807
2016,25.991966
2017,26.961193
2018,25.432852
2019,25.080044
2020,23.496126
2021,21.711412
2022,21.886757
2023,21.666952
2024,20.769533
2025,21.600632
2026,21.137402
2027,21.465141
2028,22.815668
2029,23.311186
2030,22.432817
2031,21.90554
2032,21.253105
2033,22.118439
2034,21.23652
2035,20.243591
2036,21.488197
2037,20.882973
2038,20.946468
2039,21.190666
2040,21.455341
2041,20.80927
2042,19.540354
2043,20.262762
2044,19.360853
2045,19.135405
2046,19.859108
2047,19.080545
2048,17.562437
2049,18.2695
2050,16.786423
2051,17.253744
2052,17.332699
2053,18.37248
2054,17.86295
2055,17.92045
2056,17.998396
2057,17.110884
2058,16.081337
2059,16.417538
2060,16.41057
2061,16.011997
2062,16.182596
2063,15.446328
2064,14.782952
2065,15.074794
2066,15.101865
2067,14.777698
2068,13.964533
2069,15.0451975
2070,13.105289
2071,13.686091
2072,14.166375
2073,14.6575775
2074,13.6551285
2075,15.176911
2076,14.950277
2077,14.26204
2078,13.856623
2079,13.197899
2080,15.468299
2081,15.357383
2082,14.608341
2083,14.930406
2084,14.006789
2085,15.739992
2086,14.041236
2087,14.06543
2088,14.189993
2089,15.090178
2090,13.316537
2091,15.019467
2092,14.114941
2093,12.982257
2094,13.284217
2095,13.56071
2096,12.730482
2097,11.912473
2098,11.688409
2099,13.101107
2100,12.794263
2101,11.779789
2102,11.678418
2103,12.31891
2104,12.737442
2105,12.040614
2106,11.678182
2107,12.857352
2108,13.244165
2109,12.574007
2110,11.683036
2111,12.263875
2112,10.513559
2113,12.962121
2114,12.002921
2115,12.006829
2116,12.497591
2117,11.432326
2118,11.987581
2119,11.024516
2120,12.110386
2121,11.101548
2122,11.85151
2123,11.820095
2124,11.202104
2125,11.6771965
2126,10.965145
2127,11.976412
2128,11.716033
2129,11.820182
2130,12.898729
2131,11.491385
2132,13.504476
2133,11.856427
2134,10.702533
2135,12.137393
2136,11.559503
2137,12.15183
2138,11.139477
2139,10.5326
2140,12.1236105
2141,12.993689
2142,12.13275
2143,11.701395
2144,12.043649
2145,11.469056
2146,10.916382
2147,10.9882345
2148,12.419377
2149,12.303149
2150,10.231931
2151,12.375839
2152,11.86976
2153,11.097394
2154,11.831351
2155,12.040826
2156,12.030017
2157,11.19185
2158,11.698166
2159,12.157335
2160,12.389849
