Years,SSP245a,SSP245c,SSP245g,SSP245i
2015,26.166807,22.9318,25.00983,23.535429
2016,25.991966,21.462954,24.807034,23.9425
2017,26.961193,20.781788,25.882683,23.709354
2018,25.432852,21.202158,24.688253,24.556522
2019,25.080044,20.953068,26.37036,24.257702
2020,23.496126,20.405338,24.76685,22.8282
2021,21.711412,19.221542,24.909822,25.081087
2022,21.886757,19.486952,22.785475,23.594614
2023,21.666952,19.346655,22.81177,24.075636
2024,20.769533,20.052874,21.13933,23.534035
2025,21.600632,20.27352,21.155638,22.44081
2026,21.137402,20.397564,21.144903,23.633263
2027,21.465141,20.908321,21.286917,22.223276
2028,22.815668,21.372896,21.477976,22.137276
2029,23.311186,21.623045,21.71596,22.258219
2030,22.432817,21.956116,21.339977,22.961445
2031,21.90554,21.759153,20.968838,22.56274
2032,21.253105,23.844646,22.277908,21.125847
2033,22.118439,24.086195,22.140436,20.757488
2034,21.23652,22.79558,21.949251,21.192904
2035,20.243591,22.339407,22.077166,21.137106
2036,21.488197,23.53576,21.96262,20.528555
2037,20.882973,23.896473,22.082495,19.210072
2038,20.946468,21.78022,22.639559,19.529428
2039,21.190666,22.208218,21.240381,19.402958
2040,21.455341,21.360723,22.069923,18.98723
2041,20.80927,20.392155,20.944223,18.604183
2042,19.540354,22.123955,20.338463,16.353598
2043,20.262762,21.54413,20.796064,17.684961
2044,19.360853,21.043524,20.344116,18.528645
2045,19.135405,19.893185,19.14426,18.127363
2046,19.859108,21.176739,19.450321,18.318766
2047,19.080545,20.323,18.713614,17.8264
2048,17.562437,20.439066,19.193554,17.415237
2049,18.2695,19.455954,18.522676,18.824677
2050,16.786423,19.86522,18.322004,19.189037
2051,17.253744,18.052351,16.381014,19.434402
2052,17.332699,20.10482,17.91374,17.848335
2053,18.37248,18.644506,18.478909,17.490034
2054,17.86295,17.172913,18.51176,17.558372
2055,17.92045,17.915623,18.067442,18.341219
2056,17.998396,17.282312,17.498837,18.75346
2057,17.110884,17.493784,16.840956,16.717838
2058,16.081337,17.12269,16.952791,16.227814
2059,16.417538,16.80901,16.17319,17.085875
2060,16.41057,17.325306,19.200108,16.939762
2061,16.011997,17.282755,18.555,17.101744
2062,16.182596,15.924537,18.638418,15.560714
2063,15.446328,16.807209,17.15394,16.409168
2064,14.782952,16.771128,17.847412,15.696718
2065,15.074794,15.446841,18.732382,15.709722
2066,15.101865,15.935048,19.4898,15.568975
2067,14.777698,16.628544,18.444065,13.596574
2068,13.964533,15.436067,17.221767,13.899006
2069,15.0451975,14.567609,17.914198,13.122312
2070,13.105289,13.036322,17.15211,14.687448
2071,13.686091,15.261935,16.320805,14.731353
2072,14.166375,14.654539,16.614752,14.1662445
2073,14.6575775,14.397629,15.4838295,14.48845
2074,13.6551285,14.781234,15.746934,13.536692
2075,15.176911,14.937254,15.5087385,14.701863
2076,14.950277,14.977597,16.344921,14.867098
2077,14.26204,13.187393,15.608444,14.3694105
2078,13.856623,14.672756,15.658653,13.502642
2079,13.197899,14.045523,15.649344,14.25814
2080,15.468299,14.240986,14.241797,13.529438
2081,15.357383,15.546012,15.481419,14.404677
2082,14.608341,15.340597,15.557601,13.799201
2083,14.930406,15.116234,15.624699,14.174963
2084,14.006789,15.570328,15.359349,13.888035
2085,15.739992,14.111939,15.047848,13.099135
2086,14.041236,14.381626,13.9241495,13.650901
2087,14.06543,15.537113,15.175739,13.982237
2088,14.189993,15.515588,15.143476,11.713368
2089,15.090178,14.132031,14.333715,12.614886
2090,13.316537,13.93672,14.547239,13.844789
2091,15.019467,13.999112,13.315681,13.486829
2092,14.114941,15.232151,14.258496,13.055367
2093,12.982257,14.589728,15.152658,12.712964
2094,13.284217,14.977351,13.383916,14.701932
2095,13.56071,15.752912,13.680018,12.424713
2096,12.730482,14.106588,13.916197,13.673022
2097,11.912473,14.257916,14.841786,14.992699
2098,11.688409,14.037236,12.640356,13.472954
2099,13.101107,14.782352,11.808912,12.64354
2100,12.794263,14.829622,13.38827,13.562328
2101,11.779789,14.349514,13.15637,13.548366
2102,11.678418,14.234703,13.802201,12.959854
2103,12.31891,13.947237,14.774562,12.598807
2104,12.737442,13.8787565,13.734701,15.503881
2105,12.040614,13.348676,12.903611,12.78585
2106,11.678182,13.892926,13.751603,12.325737
2107,12.857352,14.66321,13.754804,13.477051
2108,13.244165,13.792415,14.560392,13.431818
2109,12.574007,14.364833,12.567181,12.320642
2110,11.683036,13.963687,13.217401,13.636956
2111,12.263875,14.597889,12.996405,13.604152
2112,10.513559,13.981268,12.757851,13.625048
2113,12.962121,13.642111,13.7882,12.260997
2114,12.002921,13.334734,13.191623,12.758605
2115,12.006829,13.500446,13.89252,12.606868
2116,12.497591,14.453761,14.461754,12.97959
2117,11.432326,12.25618,12.160972,12.463506
2118,11.987581,14.070838,12.647077,11.329701
2119,11.024516,14.882159,13.601472,12.96011
2120,12.110386,14.265162,13.038228,12.812722
2121,11.101548,15.461386,13.390765,12.6103525
2122,11.85151,15.98028,12.96655,11.613916
2123,11.820095,15.1275835,12.851906,12.406295
2124,11.202104,14.677719,13.635193,12.303042
2125,11.6771965,14.299998,12.929976,11.469979
2126,10.965145,14.8543,13.700716,10.826898
2127,11.976412,15.494325,13.1714735,12.947632
2128,11.716033,14.241783,12.811517,10.82254
2129,11.820182,15.986473,13.889837,10.728523
2130,12.898729,16.266544,13.210405,13.205139
2131,11.491385,15.667607,11.850213,12.446137
2132,13.504476,16.200928,12.602063,12.140499
2133,11.856427,15.83341,14.633266,12.12362
2134,10.702533,15.051911,13.250666,11.804356
2135,12.137393,15.086145,12.314686,12.579452
2136,11.559503,15.78202,12.882195,12.1181
2137,12.15183,15.40596,12.7255125,12.277496
2138,11.139477,15.422991,13.314398,11.92729
2139,10.5326,15.491302,12.461039,12.808033
2140,12.1236105,16.728077,13.360578,11.370998
2141,12.993689,15.541321,12.266415,11.475023
2142,12.13275,16.018465,13.734784,11.604708
2143,11.701395,15.200472,12.094584,11.890139
2144,12.043649,15.4663315,12.666996,11.736624
2145,11.469056,13.482615,12.90124,12.782113
2146,10.916382,13.683909,11.204483,11.215021
2147,10.9882345,15.740082,11.863746,11.781231
